what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.pde.ui,,"org.eclipse.pde.ui.PDEPerspective",1301886047936
started,bundle,org.eclipse.osgi,3.7.0.v20110304,"org.eclipse.osgi",1301886047938
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110228,"org.eclipse.equinox.simpleconfigurator",1301886047938
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1301886047939
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110207,"org.eclipse.core.contenttype",1301886047940
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1301886047941
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1301886047941
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110124-0100,"org.eclipse.core.filebuffers",1301886047942
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110207,"org.eclipse.core.filesystem",1301886047943
started,bundle,org.eclipse.core.jobs,3.5.100.v20110214,"org.eclipse.core.jobs",1301886047944
started,bundle,org.eclipse.core.net,1.2.100.I20110208-0800,"org.eclipse.core.net",1301886047944
started,bundle,org.eclipse.core.resources,3.7.100.v20110228,"org.eclipse.core.resources",1301886047945
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1301886047946
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1301886047947
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1301886047947
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110316-1744,"org.eclipse.epp.mpc.ui",1301886047948
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1301886047949
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1301886047950
started,bundle,org.eclipse.equinox.app,1.3.100.v20110214,"org.eclipse.equinox.app",1301886047950
started,bundle,org.eclipse.equinox.common,3.6.0.v20110110,"org.eclipse.equinox.common",1301886047950
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110228,"org.eclipse.equinox.ds",1301886047950
started,bundle,org.eclipse.equinox.event,1.2.100.v20110110,"org.eclipse.equinox.event",1301886047951
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110305-0130,"org.eclipse.equinox.p2.core",1301886047951
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110305-0130,"org.eclipse.equinox.p2.directorywatcher",1301886047951
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110222-0044,"org.eclipse.equinox.p2.engine",1301886047952
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110228,"org.eclipse.equinox.p2.metadata",1301886047953
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110307-1255,"org.eclipse.equinox.p2.metadata.repository",1301886047954
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110222-0044,"org.eclipse.equinox.p2.operations",1301886047954
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110207,"org.eclipse.equinox.p2.reconciler.dropins",1301886047954
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110307-1255,"org.eclipse.equinox.p2.repository",1301886047955
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110222-0044,"org.eclipse.equinox.p2.ui.sdk.scheduler",1301886047956
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110222-0044,"org.eclipse.equinox.p2.updatechecker",1301886047956
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110124-0830,"org.eclipse.equinox.preferences",1301886047957
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110207,"org.eclipse.equinox.registry",1301886047957
started,bundle,org.eclipse.equinox.security,1.1.0.v20110124-0830,"org.eclipse.equinox.security",1301886047957
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1301886047958
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1301886047958
started,bundle,org.eclipse.jdt.core,3.7.0.v_B42,"org.eclipse.jdt.core",1301886047959
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110306-1700,"org.eclipse.jdt.core.manipulation",1301886047959
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui",1301886047961
started,bundle,org.eclipse.jface,3.7.0.I20110309-1300,"org.eclipse.jface",1301886047961
started,bundle,org.eclipse.jsch.core,1.1.300.I20110118-0800,"org.eclipse.jsch.core",1301886047961
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110306-1700,"org.eclipse.ltk.core.refactoring",1301886047962
started,bundle,org.eclipse.mylyn.bugzilla.core,3.5.0.v20110316-0100,"org.eclipse.mylyn.bugzilla.core",1301886047962
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.5.0.v20110316-0100,"org.eclipse.mylyn.bugzilla.ui",1301886047962
started,bundle,org.eclipse.mylyn.commons.net,3.5.0.v20110316-0100,"org.eclipse.mylyn.commons.net",1301886047962
started,bundle,org.eclipse.mylyn.commons.ui,3.5.0.v20110316-0100,"org.eclipse.mylyn.commons.ui",1301886047963
started,bundle,org.eclipse.mylyn.context.core,3.5.0.v20110316-0100,"org.eclipse.mylyn.context.core",1301886047963
started,bundle,org.eclipse.mylyn.context.ui,3.5.0.v20110316-0100,"org.eclipse.mylyn.context.ui",1301886047963
started,bundle,org.eclipse.mylyn.monitor.ui,3.5.0.v20110316-0100,"org.eclipse.mylyn.monitor.ui",1301886047964
started,bundle,org.eclipse.mylyn.tasks.ui,3.5.0.v20110316-0100,"org.eclipse.mylyn.tasks.ui",1301886047964
started,bundle,org.eclipse.mylyn.team.ui,3.5.0.v20110316-0100,"org.eclipse.mylyn.team.ui",1301886047965
started,bundle,org.eclipse.pde.launching,3.6.0.v20110304,"org.eclipse.pde.launching",1301886047966
started,bundle,org.eclipse.pde.ui,3.6.100.v20110304,"org.eclipse.pde.ui",1301886047968
started,bundle,org.eclipse.search,3.7.0.v20110208-0800,"org.eclipse.search",1301886047969
started,bundle,org.eclipse.team.core,3.6.0.I20110301-0800,"org.eclipse.team.core",1301886047969
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110301-0800,"org.eclipse.team.cvs.core",1301886047970
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110301-0800,"org.eclipse.team.cvs.ui",1301886047972
started,bundle,org.eclipse.team.ui,3.6.100.I20110301-0800,"org.eclipse.team.ui",1301886047973
started,bundle,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui",1301886047975
started,bundle,org.eclipse.ui.console,3.5.100.v20110207,"org.eclipse.ui.console",1301886047976
started,bundle,org.eclipse.ui.editors,3.7.0.v20110307-2000a,"org.eclipse.ui.editors",1301886047977
started,bundle,org.eclipse.ui.forms,3.5.100.v20110221,"org.eclipse.ui.forms",1301886047978
started,bundle,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.ide",1301886047980
started,bundle,org.eclipse.ui.intro,3.4.0.v20110221,"org.eclipse.ui.intro",1301886047981
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20101001,"org.eclipse.ui.intro.universal",1301886047981
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1301886047982
started,bundle,org.eclipse.ui.net,1.2.100.I20110208-0800,"org.eclipse.ui.net",1301886047982
started,bundle,org.eclipse.ui.views,3.6.0.I20110215-0800,"org.eclipse.ui.views",1301886047982
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110215,"org.eclipse.ui.views.log",1301886047984
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"org.eclipse.ui.workbench",1301886047984
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.workbench.texteditor",1301886047985
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1301886047985
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1301886047986
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1301886047987
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201102180808,"org.eclipse.cdt.codan.checkers",1301886047987
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201102180808,"org.eclipse.cdt.codan.core",1301886047987
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201102180808,"org.eclipse.cdt.codan.core.cxx",1301886047988
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201102180808,"org.eclipse.cdt.codan.ui.cxx",1301886047988
started,bundle,org.eclipse.cdt.core,5.3.0.201102180808,"org.eclipse.cdt.core",1301886047988
started,bundle,org.eclipse.cdt.make.core,7.1.0.201102180808,"org.eclipse.cdt.make.core",1301886047989
started,bundle,org.eclipse.cdt.make.ui,7.1.0.201102180808,"org.eclipse.cdt.make.ui",1301886047989
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.0.201102180808,"org.eclipse.cdt.managedbuilder.core",1301886047990
started,bundle,org.eclipse.cdt.ui,5.3.0.201102180808,"org.eclipse.cdt.ui",1301886047991
os,sysinfo,,,"linux",1301886047993
arch,sysinfo,,,"x86_64",1301886047993
ws,sysinfo,,,"gtk",1301886047993
locale,sysinfo,,,"en_US",1301886047993
processors,sysinfo,,,"8",1301886047994
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301886047994
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1301886047994
java.specification.name,sysinfo,,,"Java Platform API Specification",1301886047994
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301886047994
java.specification.version,sysinfo,,,"1.6",1301886047994
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301886047994
java.version,sysinfo,,,"1.6.0_21",1301886047994
java.vm.info,sysinfo,,,"mixed mode",1301886047994
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1301886047994
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301886047994
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301886047994
java.vm.specification.version,sysinfo,,,"1.0",1301886047994
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301886047994
java.vm.version,sysinfo,,,"17.0-b16",1301886047994
opened,view,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.views.ProblemView",1301886048559
activated,view,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui.PackageExplorer",1301886050400
activated,view,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui.PackageExplorer",1301886050417
closed,view,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.internal.introview",1301886050427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1301886052973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1301886080429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1301886086130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1301886096254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1301886101020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1301886103066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1301886107355
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1301886114818
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1301886115039
started,bundle,org.eclipse.compare,3.5.200.I20110208-0800,"org.eclipse.compare",1301886115047
stopped,bundle,org.eclipse.mylyn.ide.ant,3.5.0.v20110316-0100,"org.eclipse.mylyn.ide.ant",1301886115197
stopped,bundle,org.eclipse.mylyn.pde.ui,3.5.0.v20110316-0100,"org.eclipse.mylyn.pde.ui",1301886115198
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110307,"org.eclipse.pde.api.tools.ui",1301886115198
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1301886115199
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20101130,"org.eclipse.pde.runtime",1301886115199
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100628,"org.eclipse.pde.ua.ui",1301886115199
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20101206,"org.eclipse.pde.ui.templates",1301886115200
stopped,bundle,org.eclipse.rap.ui.launch,1.4.0.20110315-1210,"org.eclipse.rap.ui.launch",1301886115201
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110304,"org.eclipse.pde.ui",1301886115201
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110221,"org.eclipse.ant.ui",1301886115204
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110228,"org.eclipse.ant.launching",1301886115204
stopped,bundle,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui",1301886115207
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110222-0044,"org.eclipse.equinox.p2.ui.sdk",1301886115207
stopped,bundle,org.eclipse.mylyn.java.tasks,3.5.0.v20110316-0100,"org.eclipse.mylyn.java.tasks",1301886115208
stopped,bundle,org.eclipse.mylyn.java.ui,3.5.0.v20110316-0100,"org.eclipse.mylyn.java.ui",1301886115208
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110306-1700,"org.eclipse.jdt.junit",1301886115209
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1301886115209
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110207,"org.eclipse.jdt.debug.ui",1301886115210
stopped,bundle,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui",1301886115210
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103082225,"org.eclipse.wst.dtd.ui",1301886115211
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201103100444,"org.eclipse.wst.xsd.ui",1301886115213
stopped,bundle,org.eclipse.wst.xml.ui,1.1.200.v201103092149,"org.eclipse.wst.xml.ui",1301886115213
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1301886115213
stopped,bundle,org.eclipse.wst.sse.ui,1.3.0.v201103081945,"org.eclipse.wst.sse.ui",1301886115214
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201102180808,"org.eclipse.cdt.codan.checkers.ui",1301886115215
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201102180808,"org.eclipse.cdt.codan.ui.cxx",1301886115215
stopped,bundle,org.eclipse.cdt.codan.ui,1.1.0.201102180808,"org.eclipse.cdt.codan.ui",1301886115215
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102180808,"org.eclipse.cdt.debug.mi.ui",1301886115216
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201102180808,"org.eclipse.cdt.dsf.gdb.ui",1301886115217
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201102180808,"org.eclipse.cdt.dsf.ui",1301886115217
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102180808,"org.eclipse.cdt.gdb.ui",1301886115219
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201102180808,"org.eclipse.cdt.dsf.gdb",1301886115222
